"isbn","bookTitle","aliases","authorEditor","language","edition","year","publicationDate","productForm","country","status","administrator","applicationNo","applicationSubmitted","verificationNotes","earmarked","available","used","totalEarmarked","booksSubmitted","booksPending","booksSurrendered","applicationSerialNo","bookSerialNo","sourceRow"
"978-93-341-6721-4","विदेह मैथिली ई पत्रिका अंक 407 देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-12-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","34456|ISBN|2024|A","2024-11-18","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","78","1","84"
"978-93-341-6388-9","विदेह मैथिली ई पत्रिका अंक 48","","Gajendra Thakur","Maithili","","2024","2024-11-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","33935|ISBN|2024|A","2024-11-12","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","79","1","85"
"978-93-341-6195-3","विदेह मैथिली ई पत्रिका अंक 406 देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-11-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","33491|ISBN|2024|A","2024-11-08","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","80","1","86"
"978-93-341-5972-1","विदेह मैथिली ई पत्रिका अंक ४०५ -हितनाथ झा- विशेषांक (देवनागरी)","","Gajendra Thakur","Maithili","","2024","2024-11-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","33039|ISBN|2024|A","2024-11-05","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","81","1","87"
"978-93-341-5738-3","विदेह मैथिली ई पत्रिका अंक 47","","Gajendra Thakur","Maithili","","2024","2009-12-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","32611|ISBN|2024|A","2024-10-30","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","82","1","88"
"978-93-341-5466-5","विदेह मैथिली ई पत्रिका अंक 45","","Gajendra Thakur","Maithili","","2024","2009-11-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","32185|ISBN|2024|A","2024-10-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","83","1","89"
"978-93-341-5389-7","विदेह मैथिली ई पत्रिका अंक 43","","Gajendra Thakur","Maithili","","2024","2009-10-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","31996|ISBN|2024|A","2024-10-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","84","1","90"
"978-93-341-4824-4","विदेह मैथिली ई पत्रिका अंक 39","","Gajendra Thakur","Maithili","","2024","2009-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30985|ISBN|2024|A","2024-10-15","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","85","1","91"
"978-93-341-4799-5","विदेह मैथिली ई पत्रिका अंक ३७","","Gajendra Thakur","Maithili","","2024","2009-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30911|ISBN|2024|A","2024-10-15","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","86","1","92"
"978-93-341-4667-7","विदेह मैथिली ई पत्रिका अंक ३५","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2024","2009-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30689|ISBN|2024|A","2024-10-14","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","87","1","93"
"978-93-341-4581-6","विदेह मैथिली ई पत्रिका अंक 33","","Gajendra Thakur","Maithili","","2024","2009-05-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30555|ISBN|2024|A","2024-10-11","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","88","1","94"
"978-93-341-4504-5","विदेह मैथिली ई पत्रिका अंक 404 देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-10-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30428|ISBN|2024|A","2024-10-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","89","1","95"
"978-93-341-4358-4","विदेह मैथिली ई पत्रिका अंक 31","","Gajendra Thakur","Maithili","","2024","2009-04-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30144|ISBN|2024|A","2024-10-08","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","90","1","96"
"978-93-341-4149-8","विदेह मैथिली ई पत्रिका अंक 29","","Gajendra Thakur","Maithili","","2024","2024-03-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","29737|ISBN|2024|A","2024-10-04","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","91","1","97"
"978-93-341-3942-6","विदेह मैथिली ई पत्रिका अंक से 27","","Gajendra Thakur","Maithili","","2024","2009-02-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","29369|ISBN|2024|A","2024-10-01","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","92","1","98"
"978-93-341-3732-3","विदेह मैथिली ई पत्रिका अंक २५","","Gajendra Thakur","Maithili","","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28981|ISBN|2024|A","2024-09-27","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","93","1","99"
"978-93-341-3646-3","विदेह मैथिली ई पत्रिका अंक 23","","Gajendra Thakur","Maithili","","2024","2008-12-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28789|ISBN|2024|A","2024-09-26","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","94","1","100"
"978-93-341-3582-4","विदेह मैथिली ई पत्रिका अंक २१","","Gajendra Thakur","Maithili","","2024","2008-11-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28700|ISBN|2024|A","2024-09-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","95","1","101"
"978-93-341-3568-8","विदेह मैथिली ई पत्रिका अंक उन्नैस","","Gajendra Thakur","Maithili","","2024","2008-10-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28659|ISBN|2024|A","2024-09-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","96","1","102"
"978-93-341-3537-4","विदेह मैथिली ई पत्रिका अंक सत्रह","","Gajendra Thakur","Maithili","","2024","2008-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28592|ISBN|2024|A","2024-09-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","97","1","103"
"978-93-341-3462-9","विदेह मैथिली ई पत्रिका अंक पन्द्रह","","Gajendra Thakur","Maithili","","2024","2008-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28490|ISBN|2024|A","2024-09-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","98","1","104"
"978-93-341-3453-7","विदेह मैथिली ई पत्रिका अंक तेरह","","Gajendra Thakur","Maithili","","2024","2008-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28443|ISBN|2024|A","2024-09-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","99","1","105"
"978-93-341-3377-6","विदेह 403 देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-10-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28296|ISBN|2024|A","2024-09-23","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","100","1","106"
"978-93-341-3242-7","विदेह मैथिली ई पत्रिका अंक एगारह","","Gajendra Thakur","Maithili","","2024","2008-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28012|ISBN|2024|A","2024-09-20","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","101","1","107"
"978-93-341-3195-6","विदेह मैथिली ई पत्रिका अंक नौ","","Gajendra Thakur","Maithili","","2024","2008-05-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27957|ISBN|2024|A","2024-09-20","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","102","1","108"
"978-93-341-3157-4","विदेह मैथिली ई पत्रिका अंक सात","","Gajendra Thakur","Maithili","","2024","2008-04-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27833|ISBN|2024|A","2024-09-19","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","103","1","109"
"978-93-341-2983-0","विदेह मैथिली ई पत्रिका अंक ५","","Gajendra Thakur","Maithili","","2024","2008-03-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27446|ISBN|2024|A","2024-09-17","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","104","1","110"
"978-93-341-2843-7","विदेह ई पत्रिका अंक ३","","Gajendra Thakur","Maithili","","2024","2008-02-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27180|ISBN|2024|A","2024-09-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","105","1","111"
"978-93-341-2766-9","विदेह ई पत्रिका अंक १ जनवरी ०१ २००८ भालसारिक गाछ २००-२००७","","Gajendra Thakur","Maithili","2008","2024","2000-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27059|ISBN|2024|A","2024-09-12","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","106","1","112"
"978-93-341-2705-8","विदेह ४०२ देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-09-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26950|ISBN|2024|A","2024-09-11","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","107","1","113"
"978-93-341-2639-6","विदेह मैथिली नाट्य उत्सव विदेह सदेह ८","","Gajendra Thakur","Maithili","2024","2024","2012-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26819|ISBN|2024|A","2024-09-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","108","1","114"
"978-93-341-2561-0","विदेह मैथिली पद्य विदेह सदेह ७","","Gajendra Thakur","Maithili","2024","2024","2012-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26617|ISBN|2024|A","2024-09-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","109","1","115"
"978-93-341-2448-4","विदेह मैथिली लघुकथा विदेह सदेह ६","","Gajendra Thakur","Maithili","2024","2024","2012-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26400|ISBN|2024|A","2024-09-06","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","110","1","116"
"978-93-341-2373-9","विदेह मैथिली विहनि कथा विदेह सदेह ५","","Gajendra Thakur","Maithili","2013","2024","2012-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26244|ISBN|2024|A","2024-09-05","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","111","1","117"
"978-93-341-2284-8","विदेह सदेह ४ मैथिली कथा","","Gajendra Thakur","Maithili","2024","2024","2010-01-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26102|ISBN|2024|A","2024-09-04","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","112","1","118"
"978-93-341-2187-2","विदेह सदेह ३ मैथिली पद्य","","Gajendra Thakur","Maithili","2024","2024","2010-01-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25874|ISBN|2024|A","2024-09-02","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","113","1","119"
"978-93-341-2057-8","विदेह सदेह २ मैथिली प्रबन्ध-निबन्ध-समालोचना","","Gajendra Thakur","Maithili","2024","2024","2010-01-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25626|ISBN|2024|A","2024-08-30","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","114","1","120"
"978-93-341-2017-2","विदेह सदेह १","","Gajendra Thakur","Maithili","2024","2024","2009-01-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25536|ISBN|2024|A","2024-08-30","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","115","1","121"
"978-93-341-1967-1","विदेह मिथिलाक्षर ४०१","","Gajendra Thakur","Maithili","","2024","2024-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25438|ISBN|2024|A","2024-08-29","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","116","1","122"
"978-93-341-1933-6","विदेह देवनागरी ४०१","","Gajendra Thakur","Maithili","","2024","2024-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25374|ISBN|2024|A","2024-08-29","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","117","1","123"
"978-93-341-1791-2","Learn Kaithi- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25050|ISBN|2024|A","2024-08-27","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","118","1","124"
"978-93-341-1627-4","Learn Kharoshthi- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","24730|ISBN|2024|A","2024-08-23","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","119","1","125"
"978-93-341-1553-6","Learn Brahmi- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","24587|ISBN|2024|A","2024-08-22","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","120","1","126"
"978-93-341-1475-1","Learn Japanese Script for Haiku- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","24454|ISBN|2024|A","2024-08-21","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","121","1","127"
"978-93-341-1323-5","Learn Tibetan Script- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","24142|ISBN|2024|A","2024-08-19","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","122","1","128"
"978-93-341-1061-6","Learn Urdu Script- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","23631|ISBN|2024|A","2024-08-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","123","1","129"
"978-93-341-0816-3","Learn Calligraphic Newari (Ranjana)- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","23138|ISBN|2024|A","2024-08-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","124","1","130"
"978-93-341-0684-8","Learn Newari- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","22894|ISBN|2024|A","2024-08-07","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","125","1","131"
"978-93-341-0446-2","Learn Braille through Mithilakshar- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","22388|ISBN|2024|A","2024-08-02","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","127","1","132"
"978-93-341-0403-5","Learn IPA through Mithilakshar- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","22291|ISBN|2024|A","2024-08-01","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","128","1","133"
"978-93-341-0344-1","Learn Mithilakshar- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","22183|ISBN|2024|A","2024-08-01","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","129","1","134"
"978-93-341-0168-3","Learn Maithili Sign Language- Gajendra Thakur (2009/ 2023)","","Gajendra Thakur","Maithili","2023","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","21806|ISBN|2024|A","2024-07-30","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","130","1","135"
"978-93-340-9940-9","विदेह ४०० मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-08-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","21304|ISBN|2024|A","2024-07-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","131","1","136"
"978-93-340-9728-3","विदेह ४०० देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-08-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","20772|ISBN|2024|A","2024-07-22","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","132","1","137"
"978-93-340-9537-1","विदेह ३९९ मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","20324|ISBN|2024|A","2024-07-18","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","133","1","138"
"978-93-340-9310-0","विदेह ३९९ देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","19906|ISBN|2024|A","2024-07-15","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","134","1","139"
"978-93-340-9094-9","विदेह मिथिलाक्षर ३९८","","Gajendra Thakur","Maithili","","2024","2024-07-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","19325|ISBN|2024|A","2024-07-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","135","1","140"
"978-93-340-8966-0","विदेह ३९८ देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-07-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","19073|ISBN|2024|A","2024-07-08","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","136","1","141"
"978-93-340-8800-7","मैथिलीक प्रतिनिधि गजल 2017","","Gajendra Thakur","Maithili","2024","2024","2017-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","18682|ISBN|2024|A","2024-07-04","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","137","1","142"
"978-93-340-8499-3","मैथिली गजल आगमन ओ प्रस्थान बिंदु गजलक आलोचना समालोचना समीक्षा 2012","","Gajendra Thakur","Maithili","2024","2024","2012-07-01","Big book","INDIA","Allotted |

Allocation Letter","Gajendra","17975|ISBN|2024|A","2024-06-28","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","138","1","143"
"978-93-340-8313-2","विदेह देवनागरी ३९७","","Gajendra Thakur","Maithili","","2024","2024-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","17555|ISBN|2024|A","2024-06-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","139","1","144"
"978-93-340-8043-8","विदेह ३९७ मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","16774|ISBN|2024|A","2024-06-20","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","140","1","145"
"978-93-340-7795-7","विदेह ३९६ देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-06-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","16080|ISBN|2024|A","2024-06-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","141","1","146"
"978-93-340-7604-2","विदेह ३९६ मिथिलाक्षर भाषाविद डॉ रामावतार यादव विशेषांक","","Gajendra Thakur","Maithili","","2024","2024-06-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","15493|ISBN|2024|A","2024-06-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","142","1","147"
"978-93-340-7344-7","विदेह ३९५ देवनागरी नरेन्द्र झा विशेषांक","","Gajendra Thakur","Maithili","","2024","2024-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","14655|ISBN|2024|A","2024-06-04","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","143","1","148"
"978-93-340-7110-8","विदेह ३९५ मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","14154|ISBN|2024|A","2024-05-29","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","144","1","149"
"978-93-340-6969-3","विदेह ३९४ देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-05-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","13818|ISBN|2024|A","2024-05-27","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","145","1","150"
"978-93-340-6724-8","विदेह ३९४ मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-05-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","13269|ISBN|2024|A","2024-05-21","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","146","1","151"
"978-93-340-6426-1","विदेह ३९३ देवनागरी","","Gajendra Thakur","Maithili","","2024","2024-05-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12640|ISBN|2024|A","2024-05-15","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","147","1","152"
"978-93-340-6134-5","Maithili-English Dictionary Vol I and II (2009)","","Gajendra Thakur","Maithili","2024","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12059|ISBN|2024|A","2024-05-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","149","1","153"
"978-93-340-5963-2","विदेह ३९३ मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-05-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","11738|ISBN|2024|A","2024-05-05","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","150","1","154"
"978-93-340-5348-7","Videha English Maithili Dictionary (2012)","","Gajendra Thakur","Maithili","2024","2024","2012-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","10569|ISBN|2024|A","2024-04-23","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","152","1","155"
"978-93-340-5153-7","English-Maithili Computer Dictionary","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","2024","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","10116|ISBN|2024|A","2024-04-17","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","153","1","156"
"978-93-340-4935-0","विदेह देवनागरी ३९२","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2024","2024-04-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","9660|ISBN|2024|A","2024-04-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","154","1","157"
"978-93-340-4852-0","जीनियोलोजिकल मैपिंग (450 ए. डी. सँ 2009 ए. डी. )--मिथिलाक पञ्जी प्रबन्ध -भाग-2","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","2024","2024","2012-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","9530|ISBN|2024|A","2024-04-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","155","1","158"
"978-93-340-4803-2","जीनोम मैपिंग (450 ए. डी. सँ 2009 ए. डी. )-मिथिलाक पञ्जी प्रबन्ध (2009)","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","2024","2024","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","9405|ISBN|2024|A","2024-04-08","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","156","1","159"
